Street Type or Suffix,Abbreviation (Canada Post),Abbreviation (US Postal Service),Abbreviation (Edmonton Real Estate Standard)
Abbey,ABBEY,,–
Acres,ACRES,,AC
Alley or Allée,ALLEY or ALLÉE,ALY,AL
Annex or Anex,,ANX,–
Arcade,,ARC,
Autoroute,AUT,,–
Avenue,AVE or AV,AVE,AV
Bay,BAY,,BA
Bayou,,BYU,–
Beach,BEACH,BCH,BE
Bend,BEND,BND,BN
Bluff or Bluffs,,BLF or BLFS,–
Box,,,–
Bottom,,BTM,–
Boulevard,BLVD or BOUL,BLVD,BV
Branch,,BR,–
Bridge,,BRG,–
Brook or Brooks,,BRK or BRKS,–
Burg or Burgs,,BG or BGS,–
Burrow,,,–
By-pass or Bypass,BYPASS,BYP,–
Byway,BYWAY,,–
Camp,,CP,–
Campus,CAMPUS,,–
Canyon,,CYN,–
Cape,CAPE,CPE,CA
Carré,CAR,,–
Carrefour,CARREF,,–
Castle,–,,CS
Causeway,,CSWY,–
Centre or Centres,CTR or C,CTR or CTRS,CE
Cercle,CERCLE,,–
Chare,CHARE (North-east England),,–
Chase,CHASE,,–
Chemin,CH,,–
Circle or Circles,CIR,CIR or CIRS,CI
Circuit,CIRCT,,–
Cliffs or Cliff,,CLF or CLFS,–
Close,CLOSE,,CL
Club,,CLB,–
Common or Commons,COMMON,CMN or CMNS,CM
Concession,CONC,,–
Corners or Corner,CRNRS,COR or CORS,–
Côte,CÔTE,,–
Cour,COUR,,–
Cours,COURS,,–
Course,,CRSE,–
Court or Courts,CRT,CT or CTS,CO
Cove or Coves,COVE,CV or CVS,CV
Creek,,CRK,–
Crescent,CRES,CRES,CR
Crest,–,CRST,CT
Croissant,CROIS,,–
Cross,–,,CX
Crossing,CROSS,XING,XS
Crossroads or Crossroad,,XRD or XRDS,–
Cul-de-sac,CDS,,–
Curve,,CURV,–
Dale,DALE,DL,–
Dam,,DM,–
Dell,DELL,,–
Diagonal,,,
Diversion,DIVERS,,DI
Divide,,DV,–
Downs,DOWNS,,DO
Drive,DR,DR,DR
Échangeur,ÉCH,,–
End,END,,EN
Esplanade,ESPL,,–
Estates or Estate,ESTATE,ESTS or EST,ES
Expressway,EXPY,EXPY,–
Extension or Extensions,EXTEN,EXT or EXTS,–
Fall,,FALL,–
Falls,,FLS,
Farm,FARM,,–
Ferry,,FRY,–
Field or Fields,FIELD,FLD or FLDS,–
Flat or Flats,,FLT of FLTS,–
Ford or Fords,,FRD or FRDS,–
Forest,FOREST,FRST,–
Forge or Forges,,FRG or FRGS,–
Fork or Forks,,FRK or FRKS,–
Fort,,FT,–
Freeway,FWY,FWY,FR
Front,FRONT,,–
Gardens or Garden,GDNS,GDNS or GDN,GD
Gate,GATE,,GA or GT
Gateway,–,GTWY,GW
Glade,GLADE,,–
Glen or Glens,GLEN,GLN or GLNS,GL
Glenway,,,–
Golfway,,,–
Green or Greens,GREEN or GREENS,GRN or GRNS,GR
Grounds,GRNDS,,–
Grove or Groves,GROVE,GRV or GRVS,GV
Hall,–,,HL
Harbour or Harbours,HARBR,HBR or HBRS,HB
Haven,–,HVN,HA
Heath,HEATH,,HE
Heights,HTS,HTS,HT
Highlands,HGHLDS,,–
Highway,HWY,HWY,HI
Hill or Hills,HILL,HL or HLS,HL
Hollow,HOLLOW,HOLW,HO
Île,ÎLE,,–
Impasse,IMP,,–
Inlet,INLET,INLT,IN
Island or Islands,ISLAND,IS or ISS,IS
Isle,,ISLE,–
Junction or Junctions,,JCT or JCTS,–
Keep,–,,KE
Key or Keys,KEY,KY or KYS,KY
Knoll or Knolls,KNOLL,KNL or KNLS,KN
Lake or Lakes,,LK or LKS,LK
Land,,LAND,–
Landing,LANDNG,LNDG,LD
Lane,LANE,LN,LN
Light or Lights,,LGT or LGTS,–
Limits,LMTS,,–
Line,LINE,,–
Ligne,,,–
Link,LINK,,LI
Loaf,,LF,–
Lock or Locks,,LCK or LCKS,–
Lodge,,LDG,–
Lookout,LKOUT,,–
Loop,LOOP,LOOP,LO
Mall,MALL,MALL,MA
Manor or Manors,MANOR,MNR or MNRS,MR
Maze,MAZE,,MZ
Meadow or Meadows,MEADOW,MDW or MDWS,MD
Mews,MEWS,MEWS,ME
Mill or Mills,,ML or MLS,
Mission,,MSN,
Montée,MONTÉE,,–
Moor,MOOR,,–
Motorway,,MTWY,
Mount,MOUNT,MT,MT
Mountain or Mountains,MTN,MTN or MTNS,–
Neck,,NCK,
Nene,,NENE (Tallahasse Florida),
Not Applicable,–,,NA
Oaks,–,,OA
Orchard,ORCH,ORCH,–
Oval,,OVAL,
Overpass,,OPAS,
Parade,PARADE,,PR
Park or Parc,PK or PARC,PARK,PA
Parkway,PKY,PKWY,PK
Pass or Passage,PASS,PASS or PSGE,PS
Path,PATH,PATH,PH
Pathway,PTWAY,,–
Peak,,,
Pike,,PIKE,
Pine or Pines,PINES,PINE or PNES,–
Place,PL or PLACE,PL,PL
Placeway,,,
Plain or Plains,,PLN or PLNS,
Plateau,PLAT,,–
Plaza,PLAZA,PLZ,PZ
Point or Pointe,PT or POINTE,PT,PT
Pond,–,,PD
Port,PORT,PRT,–
Prairie,,PR,
Private,PVT,,–
Promenade,PROM,,PM
Quai,QUAI,,–
Quary,–,,QU
Quay,QUAY,,QY
Radial,,RADL,
Ramp,RAMP,RAMP,–
Ranch,–,RNCH,RA
Rang,RANG,,–
Range,RG,,–
Rangée,,,
Rapid or Rapids,,RPD or RPDS,
Reach,,,
Rest,,RST,
Ridge or Ridges,RIDGE,RDG or RDGS,RG
Right of Way,ROWY (usually seen in Australia),,
Rise,RISE,,RI
River,,RIV,
Road,RD,RD,RD
Rond-point,RDPT,,–
Ronde,,,
Round,,,
Route,RTE,RTE,–
Row,ROW,ROW,RO
Rue,RUE,RUE,–
Ruelle,RLE,,–
Run,RUN,RUN,RU
Sentier,SENT,,–
Shoal or Shoals,,SHL or SHLS,
Shores or Shore,–,SHR or SHRS,SH
Sideroad,,,
Skyway,,SKWY,
Springs or Spring,–,SPG or SPGS,SP
Spur,,SPUR,
Square or Squares,SQ or SQS,SQ or SQS,SQ
Station,STA or STN,STA,
Standard,,,
Stravenue,,STRA,
Stream,,STRM,
Street,ST,ST,ST
Streets,,STS,
Stroll,,,
Subdivision,SUBDIV,,–
Summit or Summits,–,SMT,SU
Terrace or Terrasse,TERR or TSSE,TER,TC
Thicket,THICK,,–
Throughway,,TRWY,
Tour,,,
Towers,TOWERS,,–
Townline,TLINE,,–
Trace,,TRCE,
Track,,TRAK,
Trafficway,,TRFY,
Trail,TRAIL,TRL,TR
Tailer,,TRLR,
Tunnel,,TUNL,
Turnabout,TRNABT,,–
Turnpike,,TPKE,
Two,–,,TW
Underpass,,UPAS,
Union or Unions,,UN UNS,
Vale,VALE,,VA
Valley or Valleys,,VLY VLYS,
Via or Viaduct,VIA,VIA,–
View or Views,VIEW,VW or VWS,VW
Village or Villages,VILLGE,,VG
Villa or Villas,VILLA or VILLAS,VLG or VLGS,VI
Ville,,VL,
Vista,VISTA,VIS,VS
Voie,VOIE,,–
Walk or Walkway,WALK,WALK,WK
Wall,,WALL,
Way or Ways,WAY,WAY or WAYS,WY
Well,,WL,
Wells,,WLS,
Wharf,WHARF,,–
Wold,,,
Wood or Woods,WOOD or WOODS,,WO
Wynd,WYND,,WD